subject,set,pattern,complexity_rating,beauty_rating,rtime,trial,previous_complexity_rating,previous_beauty_rating,density,entropy,mean_entropy,H_2,H_mean,LSC,KC,intricacy_4,intricacy_8,local_asymm,Hasymm,Vasymm,quadtree,neighbourhood_size,tot_outertot,IC,num_active_rules
01tbfesn,4,173,39,58,21496,11,16,17,0.8177777777777778,0.6849143818666734,0.6964259281438469,2.8771907876865583,4.412621335252104,0.6947804867504483,188.64370683017407,34,14,0.0,0.0,0.0,53,5,outertot,1,7
01tbfesn,4,200,15,45,17718,12,39,58,0.4844444444444444,0.9993016941704445,0.8897913790922409,3.723030522723845,4.600009373607872,0.9184013047133588,277.2374473807298,17,8,0.0,10.091743119266056,11.009174311926609,62,9,outertot,2,7
01tbfesn,4,193,51,69,14933,13,15,45,0.3555555555555555,0.9389320105807948,0.753907292425586,3.3973886095898096,4.47859118868046,0.8688411323310825,226.29363686220225,42,14,0.0,0.0,0.0,64,5,outertot,1,7
01tbfesn,4,209,38,63,10080,14,51,69,0.5511111111111111,0.9924491812352424,0.9029247191363076,3.922067190932984,4.620726621047163,0.953330908764994,274.8171743376043,23,6,0.0,10.483870967741936,14.516129032258066,68,9,outertot,2,9
01tbfesn,4,205,38,52,11190,15,38,63,0.52,0.9988455359952018,0.8990755495429398,3.80102412321514,4.5915645056454775,0.9334711057327512,255.5775018844915,73,6,0.0,0.0,0.0,71,5,outertot,1,5
01tbfesn,4,170,25,37,13128,16,38,52,0.1244444444444444,0.5420027634369525,0.5250993700700434,1.9966820140608392,3.976458487002739,0.4966385115340783,187.1735748802214,13,3,0.0191756240400585,82.14285714285714,75.0,28,9,outertot,3,3
01tbfesn,4,174,44,51,19896,17,25,37,0.8177777777777778,0.6849143818666734,0.6729460993347236,2.878048522801573,4.432999186207232,0.6953038858468825,231.66031490827876,34,18,0.0,0.0,0.0,54,5,outertot,1,6
01tbfesn,4,196,30,65,8478,18,44,51,0.5733333333333334,0.9844268978000114,0.9110460462383774,3.5253144292492844,4.519363460553995,0.8842119778728498,272.84690026853934,16,8,0.0,0.0,0.0,67,5,outertot,1,6
01tbfesn,4,210,27,27,12590,19,30,65,0.4488888888888889,0.9924491812352424,0.887452882244446,3.916083318923068,4.639512706655466,0.9539420065985637,267.8899046122198,34,9,0.0052783067756412,48.51485148514851,40.5940594059406,66,9,outertot,3,6
01tbfesn,4,168,20,22,8449,20,27,27,0.12,0.5293608652873644,0.5872770062654971,1.8927561608132064,4.075274486622528,0.4802905972742281,156.78725382097983,4,2,0.0,48.14814814814815,0.0,24,9,outertot,2,4
