patternname,patternnum,set,density,entropy,mean_entropy,H_2,H_mean,LSC,KC,intricacy_4,intricacy_8,local_asymm,Hasymm,Vasymm,quadtree,neighbourhood_size,tot_outertot,IC,num_active_rules
patterns/15by15/experiment/set1/SC0.805_symm0.00_KC262.3_9neigh_outertot_code93737_IC1_iter35.png,19,1,0.3022222222222222,0.883990387745888,0.7370499367261202,3.2301177888861763,4.500234155276659,0.8053077372317506,262.250075957498,62,26,0.0,0.0,0.0,70,9,outertot,1,9
patterns/15by15/experiment/set1/SC0.807_symm0.01_KC248.5_5neigh_outertot_code750_IC2_iter09.png,20,1,0.5822222222222222,0.9804044567321308,0.7319956187621729,3.3168020398563707,4.485729954241807,0.806706846559348,248.48157406932052,21,5,0.0031442997053091615,12.213740458015266,12.213740458015266,49,5,outertot,2,7
patterns/15by15/experiment/set1/SC0.808_symm0.00_KC264.6_9neigh_outertot_code85507_IC1_iter35.png,21,1,0.27111111111111114,0.8430544963339179,0.7708686353516896,3.255500792946081,4.409307787696544,0.8083092438759916,264.6037115186218,42,26,0.0,0.0,0.0,64,9,outertot,1,7
patterns/15by15/experiment/set1/SC0.810_symm0.01_KC259.2_9neigh_outertot_code93737_IC2_iter30.png,22,1,0.27555555555555555,0.8493240339563619,0.7616881078484018,3.2895447345358892,4.51924174709294,0.8102570024369861,259.18057799454897,41,25,0.004999479213955826,69.35483870967742,40.32258064516129,67,9,outertot,2,9
patterns/15by15/experiment/set1/SC0.811_symm0.00_KC273.7_5neigh_outertot_code475_IC1_iter25.png,23,1,0.6977777777777778,0.883990387745888,0.8190435673601555,3.2085670100875863,4.550030435963782,0.8107256046167418,273.7455576595107,61,29,0.0,0.0,0.0,74,5,outertot,1,7
patterns/15by15/experiment/set1/SC0.817_symm0.00_KC250.4_9neigh_outertot_code196623_IC3_iter25.png,24,1,0.4711111111111111,0.9975906044732843,0.8414987740756381,3.1796877382162907,4.487853255868457,0.8165419500971918,250.38333785401562,9,9,0.0022192922546539207,60.37735849056604,52.83018867924528,48,9,outertot,3,6
patterns/15by15/experiment/set1/SC0.819_symm0.00_KC257.9_5neigh_outertot_code510_IC1_iter15.png,25,1,0.7466666666666667,0.8165187119538281,0.808851944802754,3.2077753638742323,4.4942962462669875,0.8186851951423069,257.89910639935465,16,16,0.0,0.0,0.0,54,5,outertot,1,8
patterns/15by15/experiment/set1/SC0.820_symm0.00_KC250.1_5neigh_outertot_code494_IC1_iter15.png,26,1,0.26666666666666666,0.8366407419411673,0.8245341469306843,3.3200324883281587,4.477568557707633,0.8198086695438103,250.08843875680284,34,3,0.0,0.0,0.0,50,5,outertot,1,7
patterns/15by15/experiment/set1/SC0.821_symm0.00_KC262.7_9neigh_outertot_code699054_IC2_iter05.png,27,1,0.26666666666666666,0.8366407419411673,0.8352603326685074,3.3249324934261013,4.5296875581456,0.8206908709077161,262.67717966768186,14,2,0.0,45.0,25.0,49,9,outertot,2,11
patterns/15by15/experiment/set1/SC0.843_symm0.00_KC260.9_9neigh_outertot_code15822_IC1_iter35.png,28,1,0.7111111111111111,0.8672816222000259,0.8428158268952234,3.495610066565898,4.562675735390929,0.8428551357130332,260.9354038518319,38,14,0.0,0.0,0.0,60,9,outertot,1,10
patterns/15by15/experiment/set1/SC0.845_symm0.00_KC230.3_5neigh_outertot_code485_IC1_iter40.png,29,1,0.7288888888888889,0.8430544963339179,0.802559784724668,3.4887152663175898,4.550198834249482,0.8445920264321606,230.30047634359323,14,6,0.0,0.0,0.0,55,5,outertot,1,6
